2026-04-12T18:06:26.481Z [INFO] Login success {"username":"admin","role":"admin"}
2026-04-12T18:06:26.677Z [INFO] GET /api/dashboard/stats {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:28.992Z [INFO] GET /api/departamentos {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:38.257Z [INFO] GET /api/vehiculos {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:39.210Z [INFO] GET /api/personal {"user":"admin","status":200,"ms":2}
2026-04-12T18:06:41.322Z [INFO] GET /api/config {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:42.217Z [INFO] GET /api/departamentos {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:43.301Z [INFO] GET /api/usuarios {"user":"admin","status":200,"ms":2}
2026-04-12T18:06:47.962Z [INFO] GET /api/departamentos {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:49.746Z [INFO] GET /api/vehiculos {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:50.497Z [INFO] GET /api/personal {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:51.102Z [INFO] GET /api/config {"user":"admin","status":200,"ms":1}
2026-04-12T18:06:52.369Z [INFO] GET /api/vehiculos {"user":"admin","status":200,"ms":2}
2026-04-12T18:17:38.658Z [INFO] PUT /api/perfil {"user":"admin","status":200,"ms":4}
2026-04-12T18:54:42.300Z [INFO] GET /api/dashboard/stats {"user":"admin","status":200,"ms":1}
2026-04-12T18:54:47.763Z [INFO] GET /api/notas {"user":"admin","status":200,"ms":2}
2026-04-12T18:55:05.346Z [INFO] GET /api/notas {"user":"admin","status":200,"ms":2}
2026-04-12T18:55:07.052Z [INFO] GET /api/departamentos {"user":"admin","status":200,"ms":1}
2026-04-12T18:55:09.395Z [INFO] GET /api/vehiculos {"user":"admin","status":200,"ms":1}
2026-04-12T18:55:10.267Z [INFO] GET /api/personal {"user":"admin","status":200,"ms":2}
2026-04-12T18:55:11.908Z [INFO] GET /api/notas {"user":"admin","status":200,"ms":1}
